[31/08/19, 10:48:37 PM] Mr. Buddy: ‎Messages to this chat and calls are now secured with end-to-end encryption.
[09/06/20, 10:25:02 AM] Mr. Buddy: 😜👻👻👻👻👻
[09/06/20, 10:33:09 AM] $h@lin!: 🤗
[09/06/20, 10:33:22 AM] $h@lin!: Start the work
[09/06/20, 10:35:51 AM] Mr. Buddy: Haa
[09/06/20, 10:36:27 AM] $h@lin!: Ha
[09/06/20, 10:45:40 AM] Mr. Buddy: 😶
[09/06/20, 10:46:51 AM] $h@lin!: Why
[09/06/20, 10:47:25 AM] Mr. Buddy: Simply
[09/06/20, 10:47:45 AM] $h@lin!: So Much of work?
[09/06/20, 11:10:46 AM] Mr. Buddy: A bit may be
[09/06/20, 11:55:48 AM] $h@lin!: Ha bit bit
[09/06/20, 11:58:23 AM] Mr. Buddy: Ha
[09/06/20, 12:12:25 PM] $h@lin!: 👀
‎[09/06/20, 12:12:29 PM] $h@lin!: ‎sticker omitted
[09/06/20, 12:21:39 PM] Mr. Buddy: ??!!
[09/06/20, 12:21:45 PM] Mr. Buddy: What happened
‎[09/06/20, 12:26:03 PM] $h@lin!: ‎GIF omitted
‎[09/06/20, 12:26:15 PM] $h@lin!: ‎GIF omitted
[09/06/20, 12:31:38 PM] Mr. Buddy: 😂😂😂
‎[09/06/20, 12:37:14 PM] $h@lin!: ‎GIF omitted
[09/06/20, 12:43:58 PM] Mr. Buddy: ??!!
[09/06/20, 12:56:53 PM] $h@lin!: Nothing
[09/06/20, 12:57:32 PM] $h@lin!: Man... for everything Sri ask me to fix,.. thought that is his work... when we doing that new library everything I only have done
[09/06/20, 12:57:52 PM] $h@lin!: And this joel also ask is there any issue and he is feeling sleepy tdy
[09/06/20, 12:58:20 PM] $h@lin!: I got very angry and said dnt sleep and test and report the issue so I ll fix and push it
[09/06/20, 12:58:40 PM] $h@lin!: And for Sri also said I have lot of work... I can’t do
[09/06/20, 12:58:45 PM] $h@lin!: Such a lazy ppl
[09/06/20, 12:58:53 PM] $h@lin!: At least can’t they do there own work
[09/06/20, 1:00:12 PM] Mr. Buddy: Hmm
[09/06/20, 1:00:25 PM] Mr. Buddy: Release when
[09/06/20, 1:01:01 PM] $h@lin!: I dnt know
[09/06/20, 1:01:03 PM] $h@lin!: May be tdy
[09/06/20, 1:01:36 PM] Mr. Buddy: Okieee
[09/06/20, 1:35:49 PM] $h@lin!: 🙃
[09/06/20, 3:50:07 PM] $h@lin!: Ohh new dp
[09/06/20, 3:50:26 PM] $h@lin!: Wearing mask🤣🤣🤣
[09/06/20, 3:50:40 PM] Mr. Buddy: ???
[09/06/20, 3:50:51 PM] $h@lin!: Ha face mask
[09/06/20, 3:51:27 PM] Mr. Buddy: That I dunno it's coming like that when I crop it
[09/06/20, 3:51:40 PM] $h@lin!: Send the original pic then
[09/06/20, 3:51:50 PM] $h@lin!: I said about the beard😂 man
[09/06/20, 3:51:53 PM] Mr. Buddy: No I think bcz of sunlight
‎[09/06/20, 3:51:58 PM] Mr. Buddy: ‎image omitted
[09/06/20, 3:52:05 PM] Mr. Buddy: This is original
[09/06/20, 3:52:22 PM] $h@lin!: Yeah may be from both
[09/06/20, 3:52:27 PM] Mr. Buddy: Ha
[09/06/20, 3:52:38 PM] $h@lin!: Looking cool
[09/06/20, 3:52:47 PM] $h@lin!: Did u take bath now?😂
[09/06/20, 3:53:05 PM] Mr. Buddy: Bath evening I have to take
[09/06/20, 3:53:20 PM] Mr. Buddy: I applied oil so simply took to see how it looks
[09/06/20, 3:53:28 PM] Mr. Buddy: But not much difference
[09/06/20, 3:53:39 PM] $h@lin!: 🤣
[09/06/20, 3:53:52 PM] $h@lin!: But that is blue tee shirt knwo?
[09/06/20, 3:54:09 PM] Mr. Buddy: No tgat color only
[09/06/20, 3:54:21 PM] Mr. Buddy: Voiket
[09/06/20, 3:54:34 PM] $h@lin!: Ohh I thought sunlight
[09/06/20, 3:54:40 PM] Mr. Buddy: No
[09/06/20, 3:54:53 PM] $h@lin!: Ok done with work??
[09/06/20, 3:55:07 PM] Mr. Buddy: Haa
[09/06/20, 3:55:12 PM] Mr. Buddy: Lil bit is there
[09/06/20, 3:55:28 PM] $h@lin!: Same pink
[09/06/20, 3:55:34 PM] $h@lin!: Pinch*
[09/06/20, 3:55:41 PM] $h@lin!: 🤏
[09/06/20, 3:55:48 PM] Mr. Buddy: 😂
‎[09/06/20, 3:56:03 PM] $h@lin!: ‎GIF omitted
[09/06/20, 3:56:27 PM] Mr. Buddy: Have to cut my hair
[09/06/20, 3:57:02 PM] $h@lin!: Why dnt u leave to put pony?
[09/06/20, 3:57:13 PM] Mr. Buddy: No sides
[09/06/20, 3:57:22 PM] Mr. Buddy: Sides have grown long
[09/06/20, 3:57:34 PM] Mr. Buddy: That an all I have to make it short
[09/06/20, 3:57:47 PM] $h@lin!: U only cut??
[09/06/20, 3:57:55 PM] Mr. Buddy: No barber
[09/06/20, 3:58:00 PM] $h@lin!: Come will cut
[09/06/20, 3:58:15 PM] Mr. Buddy: U ???
[09/06/20, 3:58:17 PM] $h@lin!: 🤏 scissor
[09/06/20, 3:58:26 PM] $h@lin!: Yeah
[09/06/20, 3:58:42 PM] Mr. Buddy: Ha ha y to make it disaster
‎[09/06/20, 3:58:52 PM] $h@lin!: ‎GIF omitted
[09/06/20, 3:59:02 PM] $h@lin!: Like this 🤣🤣🤣🤣
[09/06/20, 3:59:36 PM] Mr. Buddy: 😂
‎[09/06/20, 4:00:39 PM] $h@lin!: ‎GIF omitted
[09/06/20, 4:00:54 PM] Mr. Buddy: 🔪
‎[09/06/20, 4:00:58 PM] $h@lin!: ‎GIF omitted
‎[09/06/20, 4:01:30 PM] Mr. Buddy: ‎GIF omitted
[09/06/20, 4:01:51 PM] $h@lin!: U break my bones?
[09/06/20, 4:01:53 PM] $h@lin!: Lol
[09/06/20, 4:02:15 PM] Mr. Buddy: Ha
[09/06/20, 4:03:34 PM] $h@lin!: First see u ll be alive or not
‎[09/06/20, 4:03:52 PM] $h@lin!: ‎GIF omitted
[09/06/20, 4:04:39 PM] Mr. Buddy: First let's see wehete we qill be one 😂😂😂
[09/06/20, 4:09:38 PM] $h@lin!: Hard to decode by the way!
[09/06/20, 4:09:47 PM] $h@lin!: Definitely u my child
‎[09/06/20, 4:10:45 PM] $h@lin!: ‎GIF omitted
[09/06/20, 4:13:01 PM] Mr. Buddy: Your child???
[09/06/20, 4:20:07 PM] $h@lin!: Yes my child
‎[09/06/20, 4:20:41 PM] $h@lin!: ‎GIF omitted
[09/06/20, 4:24:15 PM] Mr. Buddy: ‎This message was deleted.
[09/06/20, 4:24:50 PM] Mr. Buddy: Then do one thing lift urself
‎[09/06/20, 4:27:10 PM] $h@lin!: ‎GIF omitted
[09/06/20, 4:28:26 PM] Mr. Buddy: U r this
[09/06/20, 4:45:12 PM] $h@lin!: Yes super girl
[09/06/20, 4:45:18 PM] $h@lin!: If I can’t become a god
[09/06/20, 4:45:57 PM] $h@lin!: What u deleted by the way
[09/06/20, 5:06:42 PM] Mr. Buddy: Typo
[09/06/20, 5:06:52 PM] Mr. Buddy: U r just a normal girl
‎[09/06/20, 5:07:14 PM] Mr. Buddy: ‎sticker omitted
[09/06/20, 5:17:44 PM] $h@lin!: 🤨
[09/06/20, 5:19:36 PM] Mr. Buddy: Not for me
[09/06/20, 5:19:55 PM] $h@lin!: Then who I’m for u
[09/06/20, 5:21:46 PM] Mr. Buddy: Normal
‎[09/06/20, 5:23:46 PM] $h@lin!: ‎GIF omitted
[09/06/20, 5:24:03 PM] Mr. Buddy: ??
[09/06/20, 6:01:59 PM] $h@lin!: Normal look🤣
[09/06/20, 6:10:56 PM] Mr. Buddy: Ha
‎[09/06/20, 6:19:58 PM] $h@lin!: ‎GIF omitted
[09/06/20, 6:24:35 PM] Mr. Buddy: What happened
[09/06/20, 6:50:11 PM] $h@lin!: I fixed an issue and another cane up
[09/06/20, 6:50:26 PM] Mr. Buddy: Fix
[09/06/20, 6:51:11 PM] $h@lin!: I dnt know where and why it is happening
[09/06/20, 6:51:34 PM] Mr. Buddy: Ohwww
[09/06/20, 6:51:35 PM] Mr. Buddy: Fix
[09/06/20, 6:51:46 PM] Mr. Buddy: Don't text
[09/06/20, 6:51:59 PM] $h@lin!: The problem is with laptop
[09/06/20, 6:52:07 PM] $h@lin!: It takes half an hour to build
[09/06/20, 6:52:27 PM] $h@lin!: And just on text change have to wait
[09/06/20, 8:01:04 PM] $h@lin!: Uff done
[09/06/20, 8:01:06 PM] $h@lin!: Pushed
[09/06/20, 8:01:13 PM] $h@lin!: Have to bath now
[09/06/20, 8:38:28 PM] Mr. Buddy: Ha bath man
[09/06/20, 9:34:52 PM] $h@lin!: Ha done
[09/06/20, 9:36:11 PM] $h@lin!: From morning was doing fast... tdy is Sankasta hara Ganapathi.. have to have food after seeing Moon
[09/06/20, 9:36:27 PM] Mr. Buddy: Night
[09/06/20, 9:36:39 PM] Mr. Buddy: Moon is there na
[09/06/20, 9:36:44 PM] $h@lin!: Yeah but moon is not there
[09/06/20, 9:36:46 PM] $h@lin!: Waiting
[09/06/20, 9:37:37 PM] Mr. Buddy: Moon is there
[09/06/20, 9:37:46 PM] $h@lin!: Here it’s not
[09/06/20, 9:37:52 PM] $h@lin!: Take a pic and send
[09/06/20, 9:38:25 PM] Mr. Buddy: Now it's not there
[09/06/20, 9:38:32 PM] $h@lin!: 🤯
[09/06/20, 9:38:55 PM] Mr. Buddy: I remember seeing it
[09/06/20, 9:38:59 PM] Mr. Buddy: May be yesterday
[09/06/20, 9:39:08 PM] $h@lin!: 😂
[09/06/20, 9:39:16 PM] Mr. Buddy: Ha
[09/06/20, 9:39:26 PM] $h@lin!: Changed dp again??!
[09/06/20, 9:39:40 PM] Mr. Buddy: No not changed
[09/06/20, 9:39:45 PM] Mr. Buddy: 😂
[09/06/20, 9:39:50 PM] $h@lin!: Heyy
[09/06/20, 9:39:57 PM] $h@lin!: Now read tee shirt
[09/06/20, 9:40:00 PM] $h@lin!: 🧐
[09/06/20, 9:40:14 PM] Mr. Buddy: In this beard looks even na than that pic
[09/06/20, 9:40:39 PM] Mr. Buddy: But I wamt to by gel but scared of corona
[09/06/20, 9:40:53 PM] $h@lin!: To order?
[09/06/20, 9:41:07 PM] $h@lin!: Wait ll check
[09/06/20, 9:41:23 PM] Mr. Buddy: Oder or buy
[09/06/20, 9:41:25 PM] Mr. Buddy: Anything
[09/06/20, 9:41:34 PM] $h@lin!: Trimmed?
[09/06/20, 9:41:43 PM] Mr. Buddy: No
[09/06/20, 9:41:45 PM] Mr. Buddy: Oil
[09/06/20, 9:42:00 PM] $h@lin!: It makes this much difference?!
[09/06/20, 9:42:13 PM] Mr. Buddy: No difference
[09/06/20, 9:42:18 PM] Mr. Buddy: I dunno
[09/06/20, 9:42:24 PM] Mr. Buddy: May be it will take time o guess
[09/06/20, 9:42:31 PM] Mr. Buddy: One week only na happened
[09/06/20, 9:42:40 PM] $h@lin!: One week?
[09/06/20, 9:42:42 PM] Mr. Buddy: So I think I have to apply for very long time
[09/06/20, 9:42:46 PM] Mr. Buddy: Ha
[09/06/20, 9:42:46 PM] $h@lin!: Yeah
[09/06/20, 9:43:11 PM] $h@lin!: Will see how long u grow
[09/06/20, 9:43:24 PM] Mr. Buddy: I'll grow very long
[09/06/20, 9:43:31 PM] Mr. Buddy: Till my stomach
‎[09/06/20, 9:43:38 PM] $h@lin!: ‎GIF omitted
[09/06/20, 9:43:43 PM] Mr. Buddy: 😂
[09/06/20, 9:43:50 PM] Mr. Buddy: Haaa
[09/06/20, 9:43:52 PM] $h@lin!: 😱😱😱😱😱😱😱😱😱
[09/06/20, 9:44:15 PM] $h@lin!: Then how u ll come to office
[09/06/20, 9:44:24 PM] Mr. Buddy: Y
[09/06/20, 9:44:28 PM] Mr. Buddy: What's the connection
[09/06/20, 9:44:39 PM] $h@lin!: Does it look formal?
[09/06/20, 9:44:56 PM] Mr. Buddy: Who needs formal
[09/06/20, 9:44:59 PM] $h@lin!: U need at least 3years to grow then
[09/06/20, 9:45:05 PM] $h@lin!: 🤣
[09/06/20, 9:45:06 PM] Mr. Buddy: Haaaa
[09/06/20, 9:45:15 PM] $h@lin!: U ll come like rowdy😜
[09/06/20, 9:45:22 PM] Mr. Buddy: No
[09/06/20, 9:45:38 PM] Mr. Buddy: Beard I'll not grow till stomach an all ma
[09/06/20, 9:45:41 PM] Mr. Buddy: Seriously
[09/06/20, 9:45:57 PM] $h@lin!: 🤭
[09/06/20, 9:46:00 PM] Mr. Buddy: I'll grow lil long them I'll start grooming in a shape in that length that's all
[09/06/20, 9:46:00 PM] $h@lin!: Imagine
[09/06/20, 9:46:07 PM] $h@lin!: U with beard till stomach
[09/06/20, 9:46:16 PM] Mr. Buddy: 😂😂😂😂
[09/06/20, 9:46:20 PM] $h@lin!: And stomach also have become fat
[09/06/20, 9:46:24 PM] $h@lin!: Like thor
[09/06/20, 9:46:31 PM] $h@lin!: After 5years
[09/06/20, 9:46:37 PM] $h@lin!: When. I come to see u
[09/06/20, 9:46:55 PM] $h@lin!: So much care😅
‎[09/06/20, 9:47:04 PM] Mr. Buddy: ‎GIF omitted
[09/06/20, 9:47:11 PM] Mr. Buddy: This length I have to grow
‎[09/06/20, 9:47:34 PM] $h@lin!: ‎GIF omitted
[09/06/20, 9:47:50 PM] Mr. Buddy: No bears
[09/06/20, 9:47:54 PM] Mr. Buddy: Beard
[09/06/20, 9:47:54 PM] $h@lin!: Almost like Vivek?
[09/06/20, 9:48:03 PM] $h@lin!: Hair!
[09/06/20, 9:48:13 PM] Mr. Buddy: His beard also like me only man
[09/06/20, 9:48:18 PM] Mr. Buddy: But lil long that's all
[09/06/20, 9:48:20 PM] Mr. Buddy: Not even
‎[09/06/20, 9:48:25 PM] $h@lin!: ‎GIF omitted
[09/06/20, 9:48:29 PM] Mr. Buddy: This is dense even
‎[09/06/20, 9:49:05 PM] $h@lin!: ‎GIF omitted
[09/06/20, 9:49:14 PM] Mr. Buddy: May be if I haven't trim for long time mine also will become like it
[09/06/20, 9:49:23 PM] $h@lin!: Yeah
[09/06/20, 9:49:29 PM] Mr. Buddy: I even do clean shave na some times
[09/06/20, 9:49:33 PM] $h@lin!: But I haven’t seen his😂
[09/06/20, 9:49:42 PM] $h@lin!: Yeah
[09/06/20, 9:49:44 PM] Mr. Buddy: Which one
[09/06/20, 9:49:53 PM] $h@lin!: Vivek’s
[09/06/20, 9:50:05 PM] Mr. Buddy: Don't lie
[09/06/20, 9:50:09 PM] Mr. Buddy: Your crush only na
[09/06/20, 9:50:15 PM] $h@lin!: Noooo
[09/06/20, 9:50:19 PM] $h@lin!: He is not
[09/06/20, 9:50:36 PM] $h@lin!: See u look like this
‎[09/06/20, 9:50:46 PM] Mr. Buddy: ‎GIF omitted
[09/06/20, 9:50:58 PM] $h@lin!: Oh please
[09/06/20, 9:51:01 PM] Mr. Buddy: But you had crush on vivek and you got Ajay
[09/06/20, 9:51:04 PM] $h@lin!: No no
[09/06/20, 9:51:16 PM] $h@lin!: What!!!!🧐
[09/06/20, 9:51:32 PM] Mr. Buddy: Truth na
[09/06/20, 9:51:46 PM] $h@lin!: No o
[09/06/20, 9:51:47 PM] Mr. Buddy: You aimed one but you got one
[09/06/20, 9:51:55 PM] $h@lin!: Ayyo
[09/06/20, 9:51:56 PM] $h@lin!: Nooo
[09/06/20, 9:52:03 PM] $h@lin!: I didn’t aim anyone
[09/06/20, 9:52:12 PM] Mr. Buddy: Lol
[09/06/20, 9:52:13 PM] $h@lin!: No crush nothing
[09/06/20, 9:52:19 PM] Mr. Buddy: V
[09/06/20, 9:52:21 PM] Mr. Buddy: I
[09/06/20, 9:52:23 PM] Mr. Buddy: V
[09/06/20, 9:52:25 PM] $h@lin!: I just said he is cute
[09/06/20, 9:52:25 PM] Mr. Buddy: E
[09/06/20, 9:52:28 PM] $h@lin!: No crush
[09/06/20, 9:52:27 PM] Mr. Buddy: K
[09/06/20, 9:52:40 PM] $h@lin!: Noooooooooooooooo
[09/06/20, 9:53:07 PM] Mr. Buddy: God's knots are very tricky
[09/06/20, 9:53:17 PM] $h@lin!: 😳
[09/06/20, 9:53:20 PM] $h@lin!: No dude
[09/06/20, 9:53:33 PM] Mr. Buddy: I bless u my child
[09/06/20, 9:53:46 PM] $h@lin!: I’m ur child🤭
[09/06/20, 9:53:46 PM] Mr. Buddy: It will happen how ur heart desires
[09/06/20, 9:53:57 PM] Mr. Buddy: Haaa
[09/06/20, 9:54:02 PM] $h@lin!: I dnt know what my heart wants
[09/06/20, 9:54:08 PM] $h@lin!: Dad
‎[09/06/20, 9:54:14 PM] Mr. Buddy: ‎GIF omitted
[09/06/20, 9:54:20 PM] Mr. Buddy: I know what u want
[09/06/20, 9:54:36 PM] $h@lin!: What I want
[09/06/20, 9:54:45 PM] Mr. Buddy: U want vivek
[09/06/20, 9:54:52 PM] $h@lin!: No no
[09/06/20, 9:54:58 PM] $h@lin!: He is no where in mind
[09/06/20, 9:55:04 PM] $h@lin!: How come he ll be in heart??!
[09/06/20, 9:55:25 PM] Mr. Buddy: Ok you will get him as u desire
[09/06/20, 9:55:38 PM] $h@lin!: No he is no
‎[09/06/20, 9:55:38 PM] Mr. Buddy: ‎GIF omitted
[09/06/20, 9:55:39 PM] $h@lin!: Not
[09/06/20, 9:55:47 PM] $h@lin!: No dnt bless me that
[09/06/20, 9:55:53 PM] $h@lin!: If u want to bless
[09/06/20, 9:55:59 PM] $h@lin!: Bless something good🤔
[09/06/20, 9:56:44 PM] Mr. Buddy: That is good only
[09/06/20, 9:56:53 PM] $h@lin!: Bless me something good in my career
[09/06/20, 9:57:30 PM] $h@lin!: And bless me we both have long lasting friendship 🤗
[09/06/20, 9:57:44 PM] $h@lin!: So these are the examples
[09/06/20, 9:57:50 PM] $h@lin!: Bless me something like this
[09/06/20, 9:57:51 PM] Mr. Buddy: That is not good thing , that's a bad thing
[09/06/20, 9:57:59 PM] $h@lin!: BAD😳
[09/06/20, 9:58:05 PM] Mr. Buddy: Ha
[09/06/20, 9:58:07 PM] $h@lin!: Why
‎[09/06/20, 9:58:13 PM] $h@lin!: ‎sticker omitted
[09/06/20, 9:58:14 PM] $h@lin!: Friendship is bad
[09/06/20, 9:58:27 PM] Mr. Buddy: I don't know shalini
[09/06/20, 9:58:39 PM] $h@lin!: That’s why I’m saying u dnt know
[09/06/20, 9:59:02 PM] Mr. Buddy: You also know it's good that we don't talk after ur marriage
[09/06/20, 9:59:05 PM] $h@lin!: U are still a kid,.. lot more to grow... to be a father 😂🤗🤗
[09/06/20, 9:59:27 PM] $h@lin!: Till u marry
[09/06/20, 9:59:36 PM] Mr. Buddy: Till u marry
[09/06/20, 9:59:41 PM] $h@lin!: Till u marry
[09/06/20, 9:59:47 PM] Mr. Buddy: U accept or not
[09/06/20, 9:59:51 PM] Mr. Buddy: Thats the truth
[09/06/20, 9:59:56 PM] $h@lin!: No
[09/06/20, 10:00:11 PM] $h@lin!: If my husband understands me than there is no problem
[09/06/20, 10:00:22 PM] Mr. Buddy: No shalini
[09/06/20, 10:00:24 PM] Mr. Buddy: It's me
[09/06/20, 10:00:33 PM] $h@lin!: What it’s you
[09/06/20, 10:00:33 PM] Mr. Buddy: I don't want to talk once u get married
[09/06/20, 10:00:42 PM] $h@lin!: Why
[09/06/20, 10:00:59 PM] $h@lin!: Then u want to end our friendship?
[09/06/20, 10:01:24 PM] Mr. Buddy: It's bcz I cannot talk
[09/06/20, 10:01:28 PM] Mr. Buddy: Once you get married
[09/06/20, 10:01:37 PM] Mr. Buddy: Not about ending or starting
[09/06/20, 10:01:40 PM] $h@lin!: Because I belong to someone?
[09/06/20, 10:01:53 PM] Mr. Buddy: Ok leave it's a good day u said
[09/06/20, 10:01:58 PM] Mr. Buddy: Don't talk about it
[09/06/20, 10:02:09 PM] $h@lin!: But u realise it
[09/06/20, 10:02:12 PM] $h@lin!: It’s not bad
[09/06/20, 10:02:12 PM] Mr. Buddy: So how's the release??
[09/06/20, 10:02:21 PM] $h@lin!: Dnt know
[09/06/20, 10:02:21 PM] Mr. Buddy: Done!??
[09/06/20, 10:02:29 PM] $h@lin!: U install in ur iphone
[09/06/20, 10:02:36 PM] Mr. Buddy: Ok
[09/06/20, 10:02:36 PM] $h@lin!: Not yet
[09/06/20, 10:02:48 PM] Mr. Buddy: Build number
[09/06/20, 10:02:49 PM] $h@lin!: Tomorrow he has to do one round of testing
[09/06/20, 10:02:52 PM] $h@lin!: Latest
[09/06/20, 10:03:00 PM] $h@lin!: 1.0.92
[09/06/20, 10:03:32 PM] Mr. Buddy: Ok
[09/06/20, 10:07:42 PM] Mr. Buddy: Done
[09/06/20, 10:08:28 PM] $h@lin!: Open weekly view
[09/06/20, 10:09:38 PM] $h@lin!: Take a pic
[09/06/20, 10:09:43 PM] Mr. Buddy: Haa went
‎[09/06/20, 10:09:54 PM] Mr. Buddy: ‎image omitted
[09/06/20, 10:10:10 PM] $h@lin!: 😳
[09/06/20, 10:10:20 PM] $h@lin!: I guessed it
‎[09/06/20, 10:10:49 PM] Mr. Buddy: ‎image omitted
‎[09/06/20, 10:11:01 PM] Mr. Buddy: ‎image omitted
[09/06/20, 10:11:14 PM] $h@lin!: 🤭
[09/06/20, 10:11:21 PM] $h@lin!: Scroll that date
[09/06/20, 10:11:23 PM] Mr. Buddy: Why what's wrong
[09/06/20, 10:11:38 PM] $h@lin!: Look at that date and day
[09/06/20, 10:11:52 PM] Mr. Buddy: Ha mismatched
[09/06/20, 10:13:39 PM] Mr. Buddy: What's that red colour line actually???
[09/06/20, 10:18:59 PM] $h@lin!: Current time
[09/06/20, 10:14:14 PM] Mr. Buddy: Current time
[09/06/20, 10:14:15 PM] Mr. Buddy: Ok
[09/06/20, 10:19:52 PM] $h@lin!: Ha
[09/06/20, 10:22:50 PM] $h@lin!: Had food?
[09/06/20, 10:23:19 PM] $h@lin!: Ha what about video call
[09/06/20, 10:29:02 PM] Mr. Buddy: Why any change they have made again??
[09/06/20, 10:29:15 PM] $h@lin!: I fixed some issues
[09/06/20, 10:29:27 PM] $h@lin!: Let joel yest it
[09/06/20, 10:29:28 PM] Mr. Buddy: Ohww
[09/06/20, 10:29:32 PM] Mr. Buddy: Haa
[09/06/20, 10:29:42 PM] $h@lin!: I’m not saying that video call
[09/06/20, 10:29:50 PM] $h@lin!: Yesterday u said u ll do know
[09/06/20, 10:29:51 PM] $h@lin!: 😂
[09/06/20, 10:30:10 PM] Mr. Buddy: Ha will do
[09/06/20, 10:30:16 PM] Mr. Buddy: But u r woking na
[09/06/20, 10:30:20 PM] $h@lin!: No
[09/06/20, 10:30:26 PM] $h@lin!: 😂😂😂😂
[09/06/20, 10:31:01 PM] Mr. Buddy: U r alone???
[09/06/20, 10:31:02 PM] $h@lin!: Think think
[09/06/20, 10:31:11 PM] $h@lin!: 😂
[09/06/20, 10:31:19 PM] $h@lin!: No around ghosts
[09/06/20, 10:31:29 PM] Mr. Buddy: Ppl will be there na
[09/06/20, 10:31:58 PM] $h@lin!: No
[09/06/20, 10:32:14 PM] Mr. Buddy: No one???
[09/06/20, 10:32:28 PM] $h@lin!: I’m there
[09/06/20, 10:32:48 PM] Mr. Buddy: Only u??
[09/06/20, 10:32:52 PM] $h@lin!: Yes
[09/06/20, 10:33:02 PM] Mr. Buddy: WhatsApp??
[09/06/20, 10:33:28 PM] $h@lin!: Seriously u ll call😅
[09/06/20, 10:33:34 PM] Mr. Buddy: Ha
[09/06/20, 10:33:50 PM] Mr. Buddy: U had ur dinner???
[09/06/20, 10:34:02 PM] $h@lin!: Yup
[09/06/20, 10:34:04 PM] $h@lin!: Urs?
[09/06/20, 10:34:10 PM] Mr. Buddy: Moon came??
[09/06/20, 10:34:18 PM] $h@lin!: No
[09/06/20, 10:34:27 PM] $h@lin!: Just belived
[09/06/20, 10:34:29 PM] Mr. Buddy: Then??
[09/06/20, 10:34:31 PM] $h@lin!: Moon has come
[09/06/20, 10:34:35 PM] $h@lin!: And had food
[09/06/20, 10:34:38 PM] Mr. Buddy: 😂
[09/06/20, 10:34:48 PM] $h@lin!: May be moon is behind clouds
[09/06/20, 10:34:56 PM] Mr. Buddy: Lol
[09/06/20, 10:35:35 PM] $h@lin!: What’s there in ur
[09/06/20, 10:35:37 PM] $h@lin!: It*
[09/06/20, 10:35:46 PM] $h@lin!: We have to find a way know
[09/06/20, 10:37:14 PM] Mr. Buddy: 😂😂😂
[09/06/20, 10:37:42 PM] $h@lin!: It’s a belief
[09/06/20, 10:37:51 PM] $h@lin!: We have to believe and eat
[09/06/20, 10:38:06 PM] Mr. Buddy: Ha okieee
[09/06/20, 10:38:13 PM] $h@lin!: 🤔
[09/06/20, 10:38:24 PM] Mr. Buddy: Wat hpnd
[09/06/20, 10:38:52 PM] $h@lin!: Call
[09/06/20, 10:39:52 PM] Mr. Buddy: Haaa
[09/06/20, 10:40:15 PM] $h@lin!: 🤣🤣
[09/06/20, 10:40:23 PM] $h@lin!: Ha virtual call
[09/06/20, 10:40:46 PM] $h@lin!: Scared?
[09/06/20, 10:40:53 PM] Mr. Buddy: Wht no
[09/06/20, 10:41:16 PM] $h@lin!: Ok take ur time
[09/06/20, 10:41:18 PM] $h@lin!: 🤣
[09/06/20, 10:41:23 PM] Mr. Buddy: I'll call in odigo
[09/06/20, 10:41:33 PM] $h@lin!: 🤣
[09/06/20, 10:41:37 PM] $h@lin!: Testing!
[09/06/20, 10:41:38 PM] $h@lin!: Ok
[09/06/20, 10:42:34 PM] Mr. Buddy: ‎Missed video call
[09/06/20, 10:42:44 PM] Mr. Buddy: See u didn't pick
[09/06/20, 10:42:49 PM] $h@lin!: I didn’t the call
[09/06/20, 10:42:53 PM] $h@lin!: No man
[09/06/20, 10:43:01 PM] $h@lin!: Seriously I didn’t get
[09/06/20, 11:34:35 PM] $h@lin!: 🤣🤣🤣
[09/06/20, 11:34:57 PM] $h@lin!: Though it was strange... we talked for an hour😂
[09/06/20, 11:35:19 PM] Mr. Buddy: Ha suddenly I saw the time it was so late
[09/06/20, 11:35:25 PM] Mr. Buddy: So that's y I said bye
[09/06/20, 11:35:28 PM] $h@lin!: Ha
[09/06/20, 11:35:33 PM] Mr. Buddy: Time passes very fast
[09/06/20, 11:35:36 PM] $h@lin!: Bye never end
[09/06/20, 11:35:46 PM] $h@lin!: Ha it feels like a min
[09/06/20, 11:35:53 PM] Mr. Buddy: Yes
[09/06/20, 11:36:08 PM] Mr. Buddy: I tot maybe 20 30 mins would bhave happened
[09/06/20, 11:36:21 PM] Mr. Buddy: U where feeling sleepy na
[09/06/20, 11:36:29 PM] $h@lin!: No
[09/06/20, 11:36:34 PM] Mr. Buddy: At that time I saw the time
[09/06/20, 11:36:42 PM] $h@lin!: I didn’t have food from morning
[09/06/20, 11:36:43 PM] Mr. Buddy: It was more than an hour
[09/06/20, 11:36:49 PM] $h@lin!: So looking dull
[09/06/20, 11:36:58 PM] $h@lin!: 😂
[09/06/20, 11:37:08 PM] Mr. Buddy: Then ur sister an would be there
[09/06/20, 11:37:21 PM] $h@lin!: She is not in this room
[09/06/20, 11:37:27 PM] Mr. Buddy: She would think worng if we talk for long time
[09/06/20, 11:37:28 PM] $h@lin!: They just come up
[09/06/20, 11:37:32 PM] $h@lin!: And went
[09/06/20, 11:37:40 PM] $h@lin!: Heyyyy no
[09/06/20, 11:37:46 PM] $h@lin!: They are in another room
[09/06/20, 11:37:57 PM] $h@lin!: They must be sleeping
[09/06/20, 11:38:13 PM] Mr. Buddy: Ohwww
[09/06/20, 11:38:20 PM] Mr. Buddy: I tot in that room
[09/06/20, 11:38:27 PM] $h@lin!: We didn’t talk anything wrong no why they ll think wrong
[09/06/20, 11:38:29 PM] $h@lin!: No
